Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank
IIT Bhubaneswar,"Civil Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,10922,16156
IIT Bhubaneswar,"Civil Engineering (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),19820,23960
IIT Bhubaneswar,"Civil Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,2214,2346
IIT Bhubaneswar,"Civil Engineering (4 Years, B.Tech)",AI,EWS,Female-only (including Supernumerary),3688,3698
IIT Bhubaneswar,"Civil Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,4402,5414
IIT Bhubaneswar,"Civil Engineering (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),8189,8600
IIT Bhubaneswar,"Civil Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,2203,2872
IIT Bhubaneswar,"Civil Engineering (4 Years, B.Tech)",AI,SC,Female-only (including Supernumerary),2833,3644
IIT Bhubaneswar,"Civil Engineering (4 Years, B.Tech)",AI,ST,Gender-Neutral,883,1093
IIT Bhubaneswar,"Civil Engineering (4 Years, B.Tech)",AI,ST,Female-only (including Supernumerary),1402,1429
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,2344,4162
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),4082,6467
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, B.Tech)",AI,OPEN (PwD),Female-only (including Supernumerary),50P,50P
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,426,538
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, B.Tech)",AI,EWS,Female-only (including Supernumerary),923,1035
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,984,1510
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),2515,3264
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, B.Tech)",AI,OBC-NCL (PwD),Gender-Neutral,54,54
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,344,747
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, B.Tech)",AI,SC,Female-only (including Supernumerary),1158,1330
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, B.Tech)",AI,ST,Gender-Neutral,136,265
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, B.Tech)",AI,ST,Female-only (including Supernumerary),663,663
IIT Bhubaneswar,"Electrical Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,5974,8165
IIT Bhubaneswar,"Electrical Engineering (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),13141,16009
IIT Bhubaneswar,"Electrical Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,1077,1224
IIT Bhubaneswar,"Electrical Engineering (4 Years, B.Tech)",AI,EWS,Female-only (including Supernumerary),2525,2530
IIT Bhubaneswar,"Electrical Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,2573,3215
IIT Bhubaneswar,"Electrical Engineering (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),5062,5488
IIT Bhubaneswar,"Electrical Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,1524,1828
IIT Bhubaneswar,"Electrical Engineering (4 Years, B.Tech)",AI,SC,Female-only (including Supernumerary),2175,2175
IIT Bhubaneswar,"Electrical Engineering (4 Years, B.Tech)",AI,ST,Gender-Neutral,552,919
IIT Bhubaneswar,"Electrical Engineering (4 Years, B.Tech)",AI,ST,Female-only (including Supernumerary),846,846
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,3873,5885
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),8993,10965
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,OPEN (PwD),Gender-Neutral,192,192
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,671,817
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,EWS,Female-only (including Supernumerary),1429,1429
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,1763,2248
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),3747,4785
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,OBC-NCL (PwD),Female-only (including Supernumerary),69P,69P
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,987,1481
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,SC,Female-only (including Supernumerary),1476,1476
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,ST,Gender-Neutral,511,563
IIT Bhubaneswar,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,ST,Female-only (including Supernumerary),830,830
IIT Bhubaneswar,"Engineering Physics (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,9525,12466
IIT Bhubaneswar,"Engineering Physics (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),21659,22403
IIT Bhubaneswar,"Engineering Physics (4 Years, B.Tech)",AI,EWS,Gender-Neutral,1931,2184
IIT Bhubaneswar,"Engineering Physics (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,3628,4834
IIT Bhubaneswar,"Engineering Physics (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),6849,6849
IIT Bhubaneswar,"Engineering Physics (4 Years, B.Tech)",AI,SC,Gender-Neutral,2568,2874
IIT Bhubaneswar,"Engineering Physics (4 Years, B.Tech)",AI,SC,Female-only (including Supernumerary),3531,3531
IIT Bhubaneswar,"Engineering Physics (4 Years, B.Tech)",AI,ST,Gender-Neutral,1221,1221
IIT Bhubaneswar,"Mathematics and Computing (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,4174,4708
IIT Bhubaneswar,"Mathematics and Computing (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),7679,8804
IIT Bhubaneswar,"Mathematics and Computing (4 Years, B.Tech)",AI,EWS,Gender-Neutral,739,770
IIT Bhubaneswar,"Mathematics and Computing (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,1664,2092
IIT Bhubaneswar,"Mathematics and Computing (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),4715,4715
IIT Bhubaneswar,"Mathematics and Computing (4 Years, B.Tech)",AI,SC,Gender-Neutral,989,1200
IIT Bhubaneswar,"Mathematics and Computing (4 Years, B.Tech)",AI,SC,Female-only (including Supernumerary),2114,2114
IIT Bhubaneswar,"Mathematics and Computing (4 Years, B.Tech)",AI,ST,Gender-Neutral,619,769
IIT Bhubaneswar,"Mechanical Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,7759,11678
IIT Bhubaneswar,"Mechanical Engineering (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),17144,20366
IIT Bhubaneswar,"Mechanical Engineering (4 Years, B.Tech)",AI,OPEN (PwD),Gender-Neutral,154P,154P
IIT Bhubaneswar,"Mechanical Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,1573,1717
IIT Bhubaneswar,"Mechanical Engineering (4 Years, B.Tech)",AI,EWS,Female-only (including Supernumerary),2880,3157
IIT Bhubaneswar,"Mechanical Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,3085,4142
IIT Bhubaneswar,"Mechanical Engineering (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),6760,7664
IIT Bhubaneswar,"Mechanical Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,1859,2479
IIT Bhubaneswar,"Mechanical Engineering (4 Years, B.Tech)",AI,SC,Female-only (including Supernumerary),3073,3388
IIT Bhubaneswar,"Mechanical Engineering (4 Years, B.Tech)",AI,ST,Gender-Neutral,915,1134
IIT Bhubaneswar,"Mechanical Engineering (4 Years, B.Tech)",AI,ST,Female-only (including Supernumerary),1532,1578
IIT Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,11591,16268
IIT Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),21631,22981
IIT Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,2436,2514
IIT Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,5336,5774
IIT Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),8849,9160
IIT Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,2742,3054
IIT Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, B.Tech)",AI,SC,Female-only (including Supernumerary),3877,3877
IIT Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, B.Tech)",AI,ST,Gender-Neutral,1195,1406
IIT Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, B.Tech)",AI,ST,Female-only (including Supernumerary),1764,1764
IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,1195,2361
IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),4812,5994
IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,297,489
IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,EWS,Female-only (including Supernumerary),1160,1160
IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,EWS (PwD),Gender-Neutral,41,41
IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,928,1295
IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),2823,3571
IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,OBC-NCL (PwD),Female-only (including Supernumerary),75P,75P
IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,238,703
IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,SC,Female-only (including Supernumerary),459,1252
IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,ST,Gender-Neutral,315,474
IIT Bombay,"Aerospace Engineering (4 Years, B.Tech)",AI,ST,Female-only (including Supernumerary),684,684
IIT Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,6087,8343
IIT Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),13688,13761
IIT Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,1123,1311
IIT Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,EWS,Female-only (including Supernumerary),2839,2839
IIT Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,OBC-NCL,Gender-Neutral,2786,4014
IIT Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,OBC-NCL,Female-only (including Supernumerary),5934,5934
IIT Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,SC,Gender-Neutral,2140,2370
IIT Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,SC,Female-only (including Supernumerary),2950,2950
IIT Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,ST,Gender-Neutral,1063,1070
IIT Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",AI,ST,Female-only (including Supernumerary),1581,1581
IIT Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,753,1067
IIT Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),3432,3432
IIT Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,397,397
IIT Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",AI,EWS,Female-only (including Supernumerary),1085,1085
