Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank
IIT Bhubaneswar,"Civil Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,10486,14467
IIT Bhubaneswar,"Civil Engineering (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),19820,23399
IIT Bhubaneswar,"Civil Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,1947,2095
IIT Bhubaneswar,"Civil Engineering (4 Years, B.Tech)",AI,EWS,Female-only (including Supernumerary),3450,3646
IIT Bhubaneswar,"Civil Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,4402,5168
IIT Bhubaneswar,"Civil Engineering (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),8189,8599
IIT Bhubaneswar,"Civil Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,2203,2834
IIT Bhubaneswar,"Civil Engineering (4 Years, B.Tech)",AI,SC,Female-only (including Supernumerary),2833,3644
IIT Bhubaneswar,"Civil Engineering (4 Years, B.Tech)",AI,ST,Gender-Neutral,883,1093
IIT Bhubaneswar,"Civil Engineering (4 Years, B.Tech)",AI,ST,Female-only (including Supernumerary),1402,1419
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,2344,3855
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),4082,6467
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, B.Tech)",AI,OPEN (PwD),Female-only (including Supernumerary),50P,50P
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,426,531
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, B.Tech)",AI,EWS,Female-only (including Supernumerary),923,1035
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,984,1470
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),2515,3264
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, B.Tech)",AI,OBC-NCL (PwD),Gender-Neutral,54,54
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,344,747
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, B.Tech)",AI,SC,Female-only (including Supernumerary),836,1158
IIT Bhubaneswar,"Computer Science and Engineering (4 Years, B.Tech)",AI,ST,Gender-Neutral,136,257
